dataset,strategy,rows,unique_task_ids,expected_task_count,coverage_vs_expected_pct,pass_count,fail_count,accuracy_eval_pct,accuracy_eval_ci95_low_pct,accuracy_eval_ci95_high_pct,run_total_tokens_avg,run_total_tokens_median,run_total_tokens_p90,end_to_end_latency_s_avg,end_to_end_latency_s_median,end_to_end_latency_s_p90,verifier_invoked_rate_pct,repair_attempted_rate_pct,agent_count,agent_call_count,agent_call_total_tokens_sum,agent_call_total_tokens_avg_per_call,agent_call_latency_s_avg_per_call,planner_call_count_for_strategy,planner_total_tokens_sum_for_strategy,planner_total_tokens_avg_per_call_for_strategy,planner_latency_s_avg_per_call_for_strategy,planner_token_share_of_agent_calls_pct_for_strategy,planner_call_share_of_agent_calls_pct_for_strategy,blame_rows,critic_known_count,final_known_count,critic_true_positive_count,critic_true_negative_count,blame_executor_count,blame_critic_false_fail_count,blame_critic_false_pass_count,verifier_strict_eligible_count,verifier_help_count,verifier_harm_count,executor_blame_from_critic_count,critic_blame_from_verifier_count,executor_blame_rate_on_critic_fail_pct,critic_false_fail_rate_pct,critic_false_pass_rate_pct,verifier_help_rate_pct,verifier_harm_rate_pct,verifier_net_help_rate_pct,artifact_found_rate_pct,artifact_parse_ok_rate_pct,lexical_cosine_similarity_avg,token_cosine_similarity_avg,artifact_line_count_avg,canonical_line_count_avg,line_count_delta_avg,artifact_cyclomatic_proxy_avg,canonical_cyclomatic_proxy_avg,cyclomatic_proxy_delta_avg,artifact_max_control_nesting_depth_avg,canonical_max_control_nesting_depth_avg,max_control_nesting_depth_delta_avg,planner_impact_role,planner_impact_pair_with_planner_strategy,planner_impact_pair_without_planner_strategy,planner_impact_accuracy_delta_pp_agentic_minus_no_planner,planner_impact_run_total_tokens_avg_delta_agentic_minus_no_planner,planner_impact_end_to_end_latency_s_avg_delta_agentic_minus_no_planner,planner_impact_coverage_delta_pp_agentic_minus_no_planner,planner_impact_verifier_invoked_rate_delta_pp_agentic_minus_no_planner,planner_impact_repair_attempted_rate_delta_pp_agentic_minus_no_planner,planner_impact_agent_call_total_tokens_sum_delta_agentic_minus_no_planner,planner_impact_agent_call_count_delta_agentic_minus_no_planner,planner_impact_run_tokens_reduction_without_planner_pct,planner_impact_latency_reduction_without_planner_pct,planner_impact_planner_token_share_of_with_planner_agent_calls_pct,planner_impact_planner_call_share_of_with_planner_agent_calls_pct
bigcodebench,agentic,50,50,200,25.0,26,24,52.0,38.511512,65.203088,4430.5,4391.5,5118.9,34.889859,27.988996,55.854189,0.0,0.0,3,150,221525.0,1476.833333,11.260181,50,98332.0,1966.64,24.341436,44.388669,33.333333,50,50,50,3,7,3,0,0,0,0,0,26,0,100.0,0.0,0.0,,,,25.0,23.0,0.647548,0.905423,42.3,15.025,26.24,3.891304,3.090452,0.347826,1.456522,1.145729,0.195652,with_planner,agentic,agentic_no_planner,-2.716981,1912.632075,23.612168,-1.5,0.0,0.0,88078.0,44.0,43.169667,67.676307,44.388669,33.333333
bigcodebench,agentic_no_planner,53,53,200,26.5,29,24,54.716981,41.453743,67.342632,2517.867925,2378.0,3285.8,11.277691,10.627198,13.875927,0.0,0.0,2,106,133447.0,1258.933962,5.346212,,,,,,,53,53,53,2,3,2,3,2,0,0,0,28,0,40.0,60.0,40.0,,,,26.5,25.0,0.639049,0.904499,43.603774,15.025,27.471698,3.82,3.090452,0.28,1.42,1.145729,0.18,without_planner,agentic,agentic_no_planner,-2.716981,1912.632075,23.612168,-1.5,0.0,0.0,88078.0,44.0,43.169667,67.676307,44.388669,33.333333
bigcodebench,agentic_plus_verifier,50,50,200,25.0,33,17,66.0,52.153569,77.56323,5649.55102,4986.0,7748.2,62.182027,51.498853,117.634416,46.938776,46.938776,4,170,245296.0,1442.917647,14.861536,49,96379.0,1966.918367,32.515643,39.290898,28.823529,49,49,49,17,19,17,6,7,23,5,0,23,0,73.913043,26.086957,26.923077,21.73913,0.0,21.73913,25.0,25.0,0.634889,0.917912,45.94,15.025,29.88,3.9,3.090452,0.36,1.48,1.145729,0.24,,,,,,,,,,,,,,,
bigcodebench,monolithic,57,57,200,28.5,28,29,49.122807,36.616068,61.74032,1885.315789,1904.0,2369.4,18.033718,16.851549,23.746836,0.0,0.0,1,57,107463.0,1885.315789,17.991926,,,,,,,57,0,57,0,0,0,0,0,0,0,0,0,0,,,,,,,28.5,28.5,0.795381,0.917976,18.210526,15.025,2.087719,3.929825,3.090452,0.491228,1.421053,1.145729,0.175439,,,,,,,,,,,,,,,
humaneval,agentic,10,10,164,6.097561,10,0,100.0,72.245983,100.0,2965.2,2961.0,3112.1,32.689612,32.419346,43.514828,0.0,0.0,3,30,29652.0,988.4,10.769864,10,16667.0,1666.7,27.114908,56.208687,33.333333,10,10,10,0,10,0,0,0,0,0,0,0,0,,,0.0,,,,6.097561,6.097561,0.891042,0.834595,17.1,18.5,0.8,3.4,3.664634,0.4,2.1,1.615854,0.3,with_planner,agentic,agentic_no_planner,0.0,1987.8,27.271961,0.0,0.0,0.0,19878.0,10.0,67.037637,83.426995,56.208687,33.333333
humaneval,agentic_no_planner,10,10,164,6.097561,10,0,100.0,72.245983,100.0,977.4,968.5,1150.9,5.417651,5.452744,5.775632,0.0,0.0,2,20,9774.0,488.7,2.522955,,,,,,,10,10,10,0,10,0,0,0,0,0,0,0,0,,,0.0,,,,6.097561,6.097561,0.903628,0.850614,16.4,18.5,0.1,3.3,3.664634,0.3,2.0,1.615854,0.2,without_planner,agentic,agentic_no_planner,0.0,1987.8,27.271961,0.0,0.0,0.0,19878.0,10.0,67.037637,83.426995,56.208687,33.333333
humaneval,agentic_plus_verifier,9,9,164,5.487805,9,0,100.0,70.084725,100.0,2915.222222,2952.0,3052.0,25.276883,25.9321,28.82663,0.0,0.0,3,27,26237.0,971.740741,8.135985,9,14947.0,1660.777778,19.120969,56.969166,33.333333,9,9,9,0,9,0,0,0,0,0,0,0,0,,,0.0,,,,5.487805,5.487805,0.88686,0.836336,17.333333,18.5,1.111111,3.333333,3.664634,0.555556,2.0,1.615854,0.444444,,,,,,,,,,,,,,,
humaneval,monolithic,16,16,164,9.756098,16,0,100.0,80.638658,100.0,1125.9375,1152.5,1448.0,9.414607,9.684839,11.723555,0.0,0.0,1,16,18015.0,1125.9375,9.392393,,,,,,,16,0,16,0,0,0,0,0,0,0,0,0,0,,,,,,,9.756098,9.756098,0.618279,0.854096,8.6875,18.5,-6.75,3.125,3.664634,0.1875,1.75,1.615854,0.1875,,,,,,,,,,,,,,,
mbpp,agentic,50,50,200,25.0,9,1,90.0,59.584361,98.212425,2538.26,2555.0,2878.0,23.999228,22.501593,30.883333,0.0,0.0,3,150,126913.0,846.086667,7.931948,50,80436.0,1608.72,18.109657,63.37885,33.333333,50,50,10,1,5,1,4,0,0,0,0,20,0,20.0,80.0,0.0,,,,25.0,25.0,0.576387,0.708395,10.32,5.675,4.78,3.52,2.7,0.6,1.36,1.095,0.22,with_planner,agentic,agentic_no_planner,4.0,1866.92,18.237635,0.0,0.0,0.0,93346.0,50.0,73.551173,75.99259,63.37885,33.333333
mbpp,agentic_no_planner,50,50,200,25.0,43,7,86.0,73.813543,93.049255,671.34,618.5,907.4,5.761593,5.580542,7.381545,0.0,0.0,2,100,33567.0,335.67,2.829626,,,,,,,50,50,50,1,6,1,4,0,0,0,0,17,0,20.0,80.0,0.0,,,,25.0,25.0,0.527753,0.718003,12.16,5.675,6.62,3.34,2.7,0.42,1.16,1.095,0.02,without_planner,agentic,agentic_no_planner,4.0,1866.92,18.237635,0.0,0.0,0.0,93346.0,50.0,73.551173,75.99259,63.37885,33.333333
mbpp,agentic_plus_verifier,62,62,200,31.0,52,10,83.870968,72.793431,90.996028,3003.725806,2681.5,4279.0,29.874198,24.992332,45.286593,32.258065,32.258065,4,206,174173.0,845.5,8.375795,62,98759.0,1592.887097,18.153132,56.70167,30.097087,62,62,62,7,39,7,13,3,20,6,6,20,0,35.0,65.0,7.142857,30.0,30.0,0.0,31.0,31.0,0.588402,0.723219,9.854839,5.675,4.467742,3.354839,2.7,0.66129,1.306452,1.095,0.274194,,,,,,,,,,,,,,,
mbpp,monolithic,50,50,200,25.0,9,1,90.0,59.584361,98.212425,1101.02,1073.5,1380.0,10.998774,10.860353,15.11819,0.0,0.0,1,50,55051.0,1101.02,10.976105,,,,,,,50,0,10,0,0,0,0,0,0,0,0,0,0,,,,,,,25.0,25.0,0.602409,0.713116,7.58,5.675,2.04,3.3,2.7,0.38,1.28,1.095,0.14,,,,,,,,,,,,,,,
